TEAM,Games Played,Wins,Losses,Win Percentage,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Turnovers,Steals,Blocks,Blocks Against,Personal Fouls,Personal Fouls Drawn,Plus-Minus
San Antonio Spurs,30.0,22.0,8.0,73.3,3.8,9.6,3.2,6.6,49.0,0.9,1.9,46.6,2.2,2.8,77.6,0.9,2.4,3.3,2.1,0.8,0.4,0.5,0.2,1.8,2.3,1.7
Indiana Pacers,37.0,26.0,11.0,70.3,3.8,9.0,2.8,6.4,43.0,0.6,1.8,34.8,2.9,3.6,79.3,1.1,2.5,3.6,1.5,0.8,0.4,0.5,0.2,2.1,2.5,1.4
Memphis Grizzlies,49.0,33.0,16.0,67.3,3.4,7.8,2.4,5.4,45.3,0.4,1.3,35.5,2.4,3.0,80.5,0.8,2.6,3.3,1.2,0.9,0.6,0.3,0.2,1.4,2.3,2.2
Portland Trail Blazers,47.0,30.0,17.0,63.8,4.2,11.0,3.0,7.4,41.1,1.0,2.7,38.4,3.9,4.6,84.3,1.3,2.9,4.1,1.6,1.1,0.4,0.5,0.3,1.8,3.2,1.9
Los Angeles Clippers,43.0,27.0,16.0,62.8,3.5,8.8,2.7,6.0,44.2,0.6,1.7,34.7,2.9,3.8,76.4,0.9,2.6,3.5,1.3,0.7,0.5,0.4,0.2,2.2,2.4,1.3
Chicago Bulls,37.0,23.0,14.0,62.2,4.5,8.5,2.6,7.6,34.6,0.6,2.0,30.7,2.6,3.5,74.6,1.5,2.8,4.3,1.5,1.3,0.8,0.5,0.5,2.0,2.7,1.2
Oklahoma City Thunder,43.0,25.0,18.0,58.1,3.9,8.7,2.6,6.7,38.5,0.9,2.7,33.9,2.6,3.0,86.0,1.0,2.9,3.8,1.1,0.8,0.3,0.5,0.2,2.3,2.1,0.2
Houston Rockets,42.0,24.0,18.0,57.1,3.9,9.4,2.7,6.1,43.8,0.8,2.1,37.9,3.3,4.4,74.2,1.1,3.1,4.2,1.3,1.1,0.5,0.4,0.4,2.2,2.9,1.5
Golden State Warriors,43.0,24.0,19.0,55.8,4.7,9.8,3.3,7.7,43.3,0.9,2.7,34.2,2.3,3.0,75.8,1.1,3.2,4.3,1.7,1.2,0.8,0.5,0.5,2.7,2.0,0.3
Miami Heat,43.0,24.0,19.0,55.8,4.4,9.1,2.8,6.6,43.0,0.8,2.5,32.7,2.6,3.4,77.2,1.0,3.0,4.0,1.3,1.1,0.5,0.4,0.3,2.2,2.3,0.6
Charlotte Bobcats,48.0,26.0,22.0,54.2,4.4,8.6,2.7,7.4,36.8,0.4,1.8,23.0,2.8,3.5,78.6,1.1,3.5,4.6,1.3,0.8,0.3,0.4,0.5,2.3,2.4,0.0
Dallas Mavericks,48.0,26.0,22.0,54.2,3.8,9.2,2.8,6.3,44.5,0.8,2.1,39.0,2.8,3.5,80.1,0.8,3.0,3.7,1.5,0.9,0.4,0.5,0.2,1.9,2.3,1.3
Brooklyn Nets,38.0,20.0,18.0,52.6,4.5,9.6,3.0,7.3,41.7,0.9,2.4,36.3,2.6,3.7,70.4,0.8,3.1,3.9,1.5,1.0,0.7,0.4,0.3,2.8,2.7,0.0
Phoenix Suns,50.0,26.0,24.0,52.0,3.6,7.4,2.4,5.9,40.7,0.4,1.9,23.2,2.2,2.8,77.1,0.8,2.5,3.3,1.0,1.1,0.6,0.3,0.3,2.2,2.0,-0.2
Toronto Raptors,54.0,28.0,26.0,51.9,3.9,8.2,2.7,6.9,39.2,0.5,1.8,27.3,2.3,3.1,74.5,1.3,2.8,4.2,1.1,1.0,0.5,0.2,0.4,2.6,2.5,0.6
Denver Nuggets,43.0,22.0,21.0,51.2,3.5,7.7,2.4,6.0,40.5,0.6,2.3,26.8,2.3,3.2,71.0,0.8,2.4,3.2,1.4,1.1,0.5,0.4,0.4,2.4,2.3,-0.4
New Orleans Pelicans,50.0,25.0,25.0,50.0,4.1,8.9,3.0,7.1,42.2,0.7,1.8,37.8,2.2,2.7,83.5,1.1,2.6,3.7,1.4,1.0,0.6,0.5,0.8,2.3,2.0,-0.2
Utah Jazz,40.0,19.0,21.0,47.5,3.7,8.4,2.7,5.8,47.0,0.7,1.6,40.0,2.4,2.9,81.2,0.9,2.1,3.0,1.4,1.2,0.4,0.3,0.3,2.6,2.0,-1.0
Washington Wizards,46.0,21.0,25.0,45.7,5.3,10.0,3.4,8.6,39.0,0.7,2.5,27.4,2.5,3.4,75.5,1.0,3.7,4.7,1.6,1.5,0.8,0.6,0.5,2.9,2.5,-0.9
Cleveland Cavaliers,42.0,19.0,23.0,45.2,4.2,8.9,2.9,7.5,39.0,0.6,1.8,32.5,2.5,3.2,77.8,1.2,2.8,3.9,1.4,1.1,0.6,0.4,0.6,2.3,2.2,-0.1
New York Knicks,39.0,17.0,22.0,43.6,4.4,8.4,2.6,7.1,36.2,0.8,2.7,30.8,2.5,2.9,85.7,1.2,2.4,3.6,1.4,1.2,0.8,0.6,0.3,2.5,2.2,-0.6
Atlanta Hawks,49.0,21.0,28.0,42.9,4.0,9.0,2.8,6.7,41.2,0.8,2.4,33.6,2.7,3.2,83.3,1.0,2.7,3.8,1.7,1.2,0.7,0.3,0.4,2.6,2.5,0.2
Los Angeles Lakers,38.0,16.0,22.0,42.1,3.1,6.7,2.0,4.9,40.4,0.6,1.8,31.3,2.1,2.7,78.6,0.8,2.3,3.1,1.1,0.8,0.3,0.3,0.4,1.8,1.8,-0.3
Philadelphia 76ers,34.0,14.0,20.0,41.2,4.0,8.9,2.9,6.2,47.6,0.6,1.5,39.2,2.4,3.4,70.1,0.9,3.1,4.0,1.7,1.1,0.5,0.4,0.6,2.2,2.3,-0.2
Minnesota Timberwolves,41.0,16.0,25.0,39.0,3.9,8.4,2.4,6.5,37.3,0.5,2.0,26.8,3.0,3.8,79.5,0.8,2.0,2.8,1.7,1.0,0.7,0.1,0.5,2.5,2.5,-2.2
Detroit Pistons,39.0,15.0,24.0,38.5,3.5,6.3,2.1,6.0,34.6,0.4,1.5,25.4,1.8,2.6,68.0,0.8,1.8,2.7,0.8,1.0,0.5,0.5,0.6,1.9,2.0,-0.8
Sacramento Kings,42.0,15.0,27.0,35.7,3.9,8.1,2.5,6.2,40.5,0.5,1.6,29.4,2.6,3.2,80.1,1.2,2.5,3.7,1.1,1.3,0.5,0.3,0.5,2.5,2.3,-1.3
Orlando Magic,42.0,14.0,28.0,33.3,4.4,8.0,2.5,7.0,36.6,0.4,1.8,23.4,2.5,3.1,78.0,0.8,2.7,3.6,1.4,1.3,0.6,0.3,0.6,2.9,2.2,-2.0
Boston Celtics,49.0,15.0,34.0,30.6,3.6,6.7,2.1,6.2,34.4,0.5,2.0,26.3,1.9,2.4,79.3,1.0,2.3,3.3,1.0,1.2,0.4,0.6,0.3,2.6,1.7,-2.0
Milwaukee Bucks,40.0,10.0,30.0,25.0,4.3,7.6,2.2,6.9,31.5,0.5,1.8,30.0,2.8,3.7,74.8,1.2,2.7,4.0,1.1,1.1,0.6,0.5,0.8,2.6,2.3,-2.4
