TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,OPP PTS,OPP PTS,OPP PTS,OPP PTS
Cleveland Cavaliers,82.0,66.0,16.0,48.2,101.6,31.4,70.7,7.2,5.3,14.7,12.0,12.6,37.1
Los Angeles Lakers,82.0,65.0,17.0,48.2,103.5,31.5,69.8,8.8,5.1,15.1,13.3,11.5,41.7
Boston Celtics,82.0,62.0,20.0,48.5,101.6,31.5,71.5,7.6,4.7,17.5,11.0,10.6,36.1
Orlando Magic,82.0,59.0,23.0,48.1,101.3,33.3,71.7,7.0,5.4,15.0,12.5,11.2,35.7
Denver Nuggets,82.0,54.0,28.0,48.1,105.6,30.6,68.3,8.7,6.0,16.8,14.3,11.6,39.0
Portland Trail Blazers,82.0,54.0,28.0,48.4,106.1,28.8,70.8,6.7,4.9,14.1,12.1,10.3,38.4
San Antonio Spurs,82.0,54.0,28.0,48.5,103.4,32.2,74.0,5.8,4.0,13.2,10.8,12.1,37.0
Houston Rockets,82.0,53.0,29.0,48.3,102.9,32.5,71.4,6.7,4.3,15.7,11.7,11.7,38.0
Dallas Mavericks,82.0,50.0,32.0,48.3,107.0,31.6,70.7,7.2,5.2,14.8,13.0,13.3,38.9
New Orleans Hornets,82.0,49.0,33.0,48.2,105.8,29.9,70.7,7.2,4.1,13.9,11.7,11.2,35.8
Utah Jazz,82.0,48.0,34.0,48.5,105.8,29.5,69.3,8.8,4.6,16.6,13.6,13.3,43.3
Atlanta Hawks,82.0,47.0,35.0,48.1,106.7,29.4,68.2,7.4,4.6,14.0,13.3,12.5,40.8
Phoenix Suns,82.0,46.0,36.0,48.2,110.4,30.7,68.2,7.2,5.1,18.6,15.4,13.2,39.8
Miami Heat,82.0,43.0,39.0,48.7,106.5,29.4,69.3,7.9,5.5,14.7,13.0,11.4,39.1
Chicago Bulls,82.0,41.0,41.0,48.6,107.5,30.3,67.5,7.5,5.5,16.9,15.4,12.7,43.2
Philadelphia 76ers,82.0,41.0,41.0,48.2,106.1,28.5,68.0,8.0,5.1,16.3,13.3,11.1,39.8
Detroit Pistons,82.0,39.0,43.0,48.5,106.4,29.9,71.1,6.0,4.6,13.1,11.7,10.4,37.6
Indiana Pacers,82.0,36.0,46.0,48.4,108.2,32.5,70.7,7.0,5.3,17.0,12.6,12.5,37.8
Charlotte Bobcats,82.0,35.0,47.0,48.6,105.0,28.9,68.6,7.1,4.8,16.6,13.4,10.6,37.6
Milwaukee Bucks,82.0,34.0,48.0,48.2,106.3,28.9,69.9,7.4,3.8,16.6,12.9,11.9,36.2
New Jersey Nets,82.0,34.0,48.0,48.4,109.5,29.5,70.3,6.8,4.8,15.6,13.1,13.2,38.4
Toronto Raptors,82.0,33.0,49.0,48.3,108.6,30.6,70.6,6.4,4.8,15.6,13.4,11.5,40.6
New York Knicks,82.0,32.0,50.0,48.3,109.4,31.0,69.6,7.4,2.5,16.7,13.7,12.9,45.7
Golden State Warriors,82.0,29.0,53.0,48.5,111.7,30.4,65.2,7.8,6.4,18.0,17.1,16.8,48.6
Memphis Grizzlies,82.0,24.0,58.0,48.3,108.2,28.5,69.7,7.5,4.7,16.1,12.7,12.3,41.7
Minnesota Timberwolves,82.0,24.0,58.0,48.3,109.9,29.8,71.7,6.2,3.9,16.5,12.1,13.0,39.8
Oklahoma City Thunder,82.0,23.0,59.0,48.3,107.6,30.5,71.6,7.4,4.5,19.0,13.0,14.0,44.7
Los Angeles Clippers,82.0,19.0,63.0,48.5,110.1,29.0,67.9,7.0,5.9,16.8,14.6,11.9,44.5
Washington Wizards,82.0,19.0,63.0,48.1,112.1,28.4,68.9,7.5,4.5,17.4,13.2,13.7,40.0
Sacramento Kings,82.0,17.0,65.0,48.5,113.4,28.9,66.9,6.9,4.3,18.7,13.9,14.3,45.6
