TEAM,Games Played,Wins,Losses,Win Percentage,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Turnovers,Steals,Blocks,Blocks Against,Personal Fouls,Personal Fouls Drawn,Plus-Minus
Milwaukee Bucks,35.0,27.0,8.0,77.1,3.7,8.6,2.8,6.4,44.4,0.9,2.5,37.1,2.0,2.6,78.0,0.9,2.9,3.7,1.6,1.2,0.3,0.3,0.2,1.9,2.1,1.0
Boston Celtics,37.0,24.0,13.0,64.9,4.6,10.4,3.2,7.8,41.8,1.2,3.6,31.9,2.8,3.5,79.8,1.0,2.9,4.0,1.8,1.0,0.4,0.5,0.4,2.5,2.9,0.9
Philadelphia 76ers,45.0,28.0,17.0,62.2,3.9,9.0,2.7,6.1,44.2,0.9,2.4,39.6,2.6,3.1,85.6,0.8,2.8,3.5,1.7,1.2,0.6,0.4,0.4,2.0,2.3,1.7
Brooklyn Nets,40.0,24.0,16.0,60.0,3.4,8.1,2.6,5.3,49.1,1.0,2.4,40.6,1.9,2.6,74.5,0.5,2.1,2.6,1.4,0.8,0.5,0.5,0.4,1.9,1.9,0.2
Denver Nuggets,37.0,22.0,15.0,59.5,3.8,8.8,2.7,6.0,44.4,0.9,2.6,34.0,2.6,3.6,70.4,0.8,2.5,3.3,1.7,1.1,0.5,0.6,0.3,1.7,2.4,0.9
Miami Heat,54.0,32.0,22.0,59.3,4.0,9.3,3.0,6.5,45.7,0.8,2.5,31.9,2.6,3.1,82.6,0.7,2.5,3.2,1.4,0.9,0.7,0.4,0.2,1.9,2.2,1.3
Memphis Grizzlies,36.0,21.0,15.0,58.3,3.0,8.0,2.3,5.3,44.0,0.4,1.7,26.2,2.9,3.7,76.9,1.1,1.9,3.1,1.3,0.9,0.3,0.2,0.3,1.6,2.4,0.3
Minnesota Timberwolves,48.0,28.0,20.0,58.3,3.9,8.3,2.8,6.5,42.8,0.8,2.6,32.3,1.9,2.6,72.8,0.9,2.4,3.3,1.5,1.2,0.6,0.5,0.3,1.9,1.9,0.3
Sacramento Kings,44.0,25.0,19.0,56.8,4.2,11.5,3.9,7.7,50.7,1.0,2.6,37.7,2.8,3.4,80.7,1.0,2.4,3.5,1.6,0.7,0.7,0.1,0.4,2.0,2.5,1.1
Cleveland Cavaliers,45.0,24.0,21.0,53.3,3.8,8.2,2.8,6.4,42.8,0.8,2.2,34.0,1.9,2.6,72.0,1.0,2.5,3.5,1.3,1.1,0.4,0.4,0.5,2.1,2.1,0.6
LA Clippers,42.0,22.0,20.0,52.4,3.3,8.4,2.8,5.6,48.9,0.6,2.0,32.5,2.2,2.7,80.7,0.6,2.3,2.9,1.5,0.9,0.4,0.3,0.2,1.6,1.8,0.5
Los Angeles Lakers,44.0,23.0,21.0,52.3,3.9,9.5,3.3,7.1,45.5,0.8,2.5,30.6,2.3,3.1,73.5,1.0,2.4,3.4,1.6,0.4,0.5,0.3,0.4,2.1,2.2,0.6
Indiana Pacers,48.0,25.0,23.0,52.1,3.4,7.8,2.4,5.8,41.8,0.8,2.7,29.7,2.2,2.6,82.5,0.8,2.2,2.9,1.3,0.8,0.4,0.5,0.5,2.2,1.7,-0.5
New York Knicks,45.0,23.0,22.0,51.1,4.4,9.9,3.1,7.2,43.8,0.8,2.6,29.6,2.9,3.8,75.1,1.3,2.8,4.1,1.3,1.2,0.5,0.5,0.5,3.1,2.7,-1.4
Golden State Warriors,41.0,20.0,21.0,48.8,4.2,9.0,3.0,7.7,39.7,1.3,4.0,31.9,1.6,2.0,78.0,1.3,3.4,4.6,1.9,1.3,0.5,0.6,0.6,2.2,1.9,-0.2
Dallas Mavericks,55.0,26.0,29.0,47.3,4.2,8.8,2.8,6.6,42.1,1.0,3.5,28.4,2.3,3.1,72.5,0.7,2.6,3.4,1.5,0.9,0.4,0.4,0.2,2.3,2.4,0.1
Phoenix Suns,36.0,17.0,19.0,47.2,4.0,9.0,2.9,7.1,41.0,0.9,2.5,34.4,2.3,3.3,70.6,1.4,2.1,3.6,1.8,1.1,0.7,0.4,0.5,2.2,2.4,-0.3
Atlanta Hawks,43.0,20.0,23.0,46.5,4.3,9.3,3.2,7.6,42.4,0.6,2.3,27.6,2.3,2.9,77.6,1.0,2.7,3.7,1.3,1.0,0.4,0.6,0.7,2.2,2.0,-1.5
Charlotte Hornets,43.0,20.0,23.0,46.5,3.8,8.9,3.0,6.9,43.3,0.9,2.8,33.6,2.0,2.9,68.3,1.0,2.4,3.5,1.8,0.9,0.3,0.3,0.4,2.1,2.0,-0.3
