TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Phoenix Suns,52.0,30.0,22.0,3.7,2.0,5.8,35.3,0.3,1.5,19.2,2.3,2.9,77.8,0.9,2.1,3.0,1.0,1.0,0.5,0.4,0.4,2.6,2.2,6.7,-1.4
San Antonio Spurs,45.0,29.0,16.0,3.8,2.5,6.4,38.3,0.5,1.5,30.9,2.1,2.7,78.0,1.3,2.2,3.5,1.2,0.7,0.6,0.4,0.5,2.6,2.2,7.5,-0.5
New York Knicks,58.0,28.0,30.0,3.6,2.5,5.7,43.3,0.3,0.9,38.5,2.6,3.3,80.4,1.0,2.6,3.6,1.3,0.8,0.5,0.5,0.3,2.1,2.4,7.9,0.5
Philadelphia 76ers,49.0,28.0,21.0,4.1,2.7,6.2,43.4,0.6,1.8,30.3,2.7,3.6,74.7,1.1,2.6,3.6,1.5,1.3,0.6,0.4,0.3,2.8,2.5,8.6,-0.3
Boston Celtics,49.0,27.0,22.0,4.0,2.3,6.4,35.9,0.4,1.8,24.4,2.1,3.0,68.2,1.1,2.8,3.8,1.3,0.9,0.6,0.3,0.3,2.2,2.1,7.1,-0.3
Minnesota Timberwolves,41.0,27.0,14.0,3.4,1.9,5.0,36.7,0.2,1.4,16.9,2.7,3.5,76.6,0.8,2.2,3.1,1.0,0.8,0.5,0.5,0.2,2.7,2.3,6.7,-1.5
Detroit Pistons,46.0,26.0,20.0,4.3,2.5,6.3,39.7,0.2,1.2,20.0,2.8,3.9,72.5,1.2,2.8,4.0,0.9,1.4,0.5,0.5,0.5,2.7,2.8,8.1,-0.6
Los Angeles Lakers,45.0,26.0,19.0,3.8,2.4,5.8,41.4,0.6,1.4,41.0,2.5,3.4,74.2,0.8,2.2,3.0,1.4,1.0,0.5,0.3,0.7,2.5,2.5,7.9,-1.1
Sacramento Kings,40.0,26.0,14.0,3.9,2.6,6.5,39.2,0.7,1.7,38.8,2.9,3.9,74.7,1.4,2.4,3.8,1.5,1.2,0.6,0.3,0.5,2.5,2.5,8.6,-0.6
Milwaukee Bucks,50.0,25.0,25.0,4.4,2.8,6.9,40.1,0.4,1.6,24.7,3.8,4.8,77.7,1.4,3.0,4.4,1.4,1.4,0.6,0.5,0.4,2.6,3.3,9.7,0.1
