TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Boston Celtics,49.0,32.0,17.0,3.8,2.7,6.3,42.1,0.7,2.2,30.8,2.6,3.6,72.7,1.0,2.3,3.2,1.2,1.0,0.5,0.6,0.2,2.5,2.2,8.6,-1.6
Washington Wizards,55.0,32.0,23.0,3.8,2.7,6.5,40.8,0.8,2.5,31.9,2.0,2.6,76.4,0.9,2.3,3.3,1.2,1.0,0.3,0.3,0.5,2.3,1.9,8.1,-1.4
San Antonio Spurs,43.0,29.0,14.0,3.8,2.4,6.0,39.4,0.6,2.2,26.6,1.8,2.5,69.7,1.0,2.7,3.6,1.2,1.3,0.5,0.2,0.3,2.6,1.6,7.1,-2.3
Utah Jazz,45.0,27.0,18.0,3.2,2.3,5.3,42.5,0.4,1.4,30.6,1.7,2.2,78.4,0.6,1.9,2.5,0.8,0.7,0.4,0.1,0.5,1.8,1.6,6.6,-0.9
Atlanta Hawks,44.0,26.0,18.0,4.0,2.9,7.3,39.1,0.9,2.7,33.9,1.8,2.3,77.8,1.0,2.6,3.6,1.5,1.0,0.6,0.4,0.5,2.5,1.8,8.4,-1.0
Oklahoma City Thunder,42.0,26.0,16.0,3.7,2.3,6.1,37.9,0.5,2.1,24.1,2.5,3.3,77.5,0.9,2.5,3.4,1.2,1.2,0.5,0.4,0.5,2.1,2.1,7.7,-1.9
Toronto Raptors,49.0,25.0,24.0,3.6,2.2,5.8,38.0,0.7,2.3,28.6,2.1,2.7,77.9,0.7,2.3,3.0,1.2,0.9,0.4,0.4,0.3,2.0,1.9,7.1,-1.3
Memphis Grizzlies,46.0,24.0,22.0,4.1,2.3,6.1,38.1,0.8,2.5,31.6,2.6,3.4,75.3,0.8,2.8,3.6,1.4,1.3,0.6,0.4,0.3,2.2,2.3,8.0,-1.0
Sacramento Kings,49.0,24.0,25.0,4.3,2.9,7.1,41.3,0.8,2.6,32.0,3.1,4.0,77.8,1.0,2.7,3.7,1.6,1.1,0.8,0.6,0.4,2.3,2.6,9.8,1.0
Chicago Bulls,42.0,23.0,19.0,3.8,2.5,6.1,41.6,0.4,2.0,21.7,2.2,2.8,78.4,0.8,2.7,3.5,1.3,1.0,0.2,0.5,0.5,2.1,2.0,7.6,-1.0
Cleveland Cavaliers,36.0,23.0,13.0,3.9,2.8,6.4,43.5,0.7,2.4,28.7,2.1,2.9,72.8,0.7,2.7,3.4,1.7,0.8,0.5,0.4,0.2,2.6,2.1,8.4,-1.6
Houston Rockets,41.0,23.0,18.0,3.3,2.6,6.2,42.7,0.8,2.3,35.8,2.0,2.8,73.5,1.0,2.0,3.0,1.3,0.9,0.6,0.4,0.3,1.9,2.0,8.1,0.7
