TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Chicago Bulls,66.0,50.0,16.0,48.3,34.6,82.1,42.1,4.6,14.2,32.5,14.3,19.4,74.0,11.4,28.6,40.0,18.9,13.3,7.4,5.2,5.9,17.7,17.3,88.2,-8.2
San Antonio Spurs,66.0,50.0,16.0,48.3,38.1,84.2,45.2,6.2,17.7,35.3,14.1,18.7,75.6,10.3,30.9,41.2,19.6,13.7,7.4,5.0,4.4,18.8,17.3,96.5,-7.2
Oklahoma City Thunder,66.0,47.0,19.0,48.5,36.4,85.3,42.7,6.4,18.7,34.2,17.7,23.0,76.8,12.7,28.6,41.3,19.9,14.2,8.2,4.9,8.2,20.0,20.5,96.9,-6.1
Miami Heat,66.0,46.0,20.0,48.6,34.6,79.8,43.4,7.3,20.0,36.3,16.0,22.1,72.5,11.0,28.7,39.8,19.7,16.8,8.3,4.2,5.4,20.5,19.4,92.5,-6.0
Indiana Pacers,66.0,42.0,24.0,48.5,34.9,80.4,43.5,6.7,19.1,35.1,17.9,24.5,72.9,12.0,30.3,42.3,19.6,14.9,6.6,6.0,5.4,21.6,21.7,94.4,-3.3
Los Angeles Lakers,66.0,41.0,25.0,48.7,37.8,86.4,43.7,6.7,19.3,34.8,13.7,18.4,74.2,11.5,29.5,41.0,21.9,11.3,8.4,4.6,5.3,20.2,16.8,95.9,-1.4
Memphis Grizzlies,66.0,41.0,25.0,48.3,34.5,77.8,44.4,6.3,18.3,34.5,17.6,23.1,76.4,11.0,29.6,40.7,19.3,17.1,7.8,5.5,5.2,19.3,19.9,93.0,-2.0
Atlanta Hawks,66.0,40.0,26.0,49.0,36.1,81.3,44.4,5.9,17.2,34.4,15.1,20.1,75.3,10.8,31.5,42.3,20.5,15.1,7.5,4.7,4.6,19.1,17.8,93.2,-3.4
Los Angeles Clippers,66.0,40.0,26.0,48.4,34.5,77.2,44.7,7.0,19.1,36.5,19.0,25.4,74.6,10.8,29.0,39.8,20.7,14.6,6.0,4.5,4.8,21.2,21.2,95.0,-2.6
Boston Celtics,66.0,39.0,27.0,48.3,33.4,79.7,41.9,5.2,16.9,30.8,17.2,22.7,76.0,11.8,31.4,43.2,18.7,15.7,7.8,4.6,5.5,18.4,19.9,89.3,-2.5
Denver Nuggets,66.0,38.0,28.0,48.6,38.5,84.4,45.6,8.7,22.6,38.3,15.6,20.5,75.9,11.1,29.2,40.3,23.2,15.6,7.9,6.7,5.0,22.0,19.7,101.2,-2.9
Orlando Magic,66.0,37.0,29.0,48.4,35.9,80.1,44.9,6.3,18.1,34.7,15.2,19.7,77.2,10.1,31.2,41.3,20.5,13.1,7.5,4.1,4.2,19.8,17.7,93.4,-0.8
