TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Houston Rockets,82.0,65.0,17.0,48.2,39.6,85.6,46.2,10.1,28.8,35.1,14.6,19.6,74.6,8.7,33.4,42.0,22.4,14.5,7.4,4.4,4.8,20.4,19.5,103.9,-8.5
Toronto Raptors,82.0,59.0,23.0,48.4,38.4,85.6,44.9,8.9,25.0,35.7,18.2,23.7,76.7,9.8,32.6,42.4,21.8,14.3,7.2,4.9,6.1,19.9,21.7,103.9,-7.8
Golden State Warriors,82.0,58.0,24.0,48.1,40.2,90.0,44.7,10.4,29.2,35.7,16.7,22.0,75.8,10.9,31.6,42.5,23.6,14.3,8.7,3.7,7.5,18.5,19.6,107.5,-6.0
Boston Celtics,82.0,55.0,27.0,48.3,37.4,85.0,44.0,9.4,27.7,33.9,16.3,21.3,76.3,9.6,34.2,43.8,21.3,14.1,7.2,4.4,4.5,19.2,19.7,100.4,-3.6
Philadelphia 76ers,82.0,52.0,30.0,48.2,38.0,87.6,43.4,10.1,29.6,34.2,19.1,25.6,74.5,10.0,32.2,42.2,21.7,14.3,8.5,5.1,5.1,20.4,22.1,105.3,-4.5
Cleveland Cavaliers,82.0,50.0,32.0,48.1,41.8,88.3,47.4,11.7,31.7,36.8,14.6,19.4,75.6,9.9,33.7,43.6,25.9,13.5,7.5,4.1,3.8,20.7,18.6,109.9,-0.9
Portland Trail Blazers,82.0,49.0,33.0,48.2,38.4,85.9,44.7,9.7,26.6,36.4,16.6,22.0,75.5,9.3,33.6,42.9,20.2,12.6,7.3,5.1,5.2,19.1,19.5,103.0,-2.6
Indiana Pacers,82.0,48.0,34.0,48.2,39.4,84.8,46.5,10.6,30.4,34.9,14.8,19.5,75.7,10.2,32.7,43.0,23.2,15.5,7.0,5.2,4.1,18.5,18.8,104.2,-1.4
New Orleans Pelicans,82.0,48.0,34.0,48.7,41.7,91.9,45.4,10.9,30.6,35.5,16.1,20.5,78.4,10.8,34.7,45.5,23.7,14.5,8.2,4.2,5.9,20.4,19.1,110.4,-1.3
Oklahoma City Thunder,82.0,48.0,34.0,48.4,38.5,84.0,45.8,11.2,30.6,36.7,16.2,21.1,76.9,9.5,32.6,42.2,23.3,16.0,7.7,4.6,5.0,21.3,20.2,104.4,-3.4
Utah Jazz,82.0,48.0,34.0,48.2,37.3,83.0,44.9,9.5,26.0,36.5,15.8,20.5,77.1,8.7,33.0,41.6,20.0,14.9,8.3,4.6,5.1,20.5,19.6,99.8,-4.3
Minnesota Timberwolves,82.0,47.0,35.0,48.3,40.2,84.7,47.5,10.9,29.6,36.6,16.0,20.5,77.9,9.8,32.0,41.8,23.9,15.1,6.5,4.7,4.2,20.9,18.2,107.3,-2.2
San Antonio Spurs,82.0,47.0,35.0,48.1,38.2,84.3,45.3,9.1,26.3,34.8,14.3,18.9,75.9,9.2,33.3,42.5,21.8,14.1,7.6,3.9,5.6,19.7,17.2,99.8,-2.9
Denver Nuggets,82.0,46.0,36.0,48.5,41.3,86.7,47.6,10.9,28.8,37.8,15.0,20.4,73.8,9.8,31.9,41.6,24.7,13.8,8.0,4.8,4.9,20.7,18.7,108.5,-1.5
Miami Heat,82.0,44.0,38.0,48.6,37.7,83.8,45.0,9.6,26.6,36.0,18.0,23.0,78.3,9.1,34.0,43.1,21.0,14.1,7.5,4.6,5.3,19.4,20.1,102.9,-0.5
Milwaukee Bucks,82.0,44.0,38.0,48.4,39.1,83.7,46.8,10.1,27.1,37.2,18.4,23.5,78.3,10.0,32.8,42.7,23.6,15.6,7.1,4.5,5.4,19.9,21.4,106.8,0.3
Washington Wizards,82.0,43.0,39.0,48.4,39.0,84.4,46.2,10.2,29.2,34.9,17.9,23.5,76.1,9.8,32.7,42.5,22.3,14.9,7.8,4.7,4.3,20.0,21.3,106.0,-0.6
LA Clippers,82.0,42.0,40.0,48.1,40.2,87.7,45.9,10.7,30.2,35.6,17.8,22.7,78.2,10.6,33.0,43.6,24.6,14.1,8.5,5.6,4.5,22.0,20.0,109.0,0.0
Detroit Pistons,82.0,39.0,43.0,48.3,39.1,85.2,45.9,11.1,30.8,35.9,14.6,18.9,77.6,9.2,34.5,43.8,25.2,14.8,7.3,4.9,3.9,18.4,18.4,103.9,0.1
Charlotte Hornets,82.0,36.0,46.0,48.2,41.1,87.8,46.8,11.3,30.1,37.5,14.5,18.2,79.5,8.4,35.3,43.7,24.7,13.6,6.6,4.9,4.5,22.4,17.2,108.0,-0.3
Los Angeles Lakers,82.0,35.0,47.0,48.5,41.0,89.9,45.6,10.4,30.1,34.6,17.1,22.5,76.1,10.2,34.6,44.8,23.6,14.3,8.3,5.5,4.7,20.5,21.2,109.6,1.5
New York Knicks,82.0,29.0,53.0,48.4,39.4,86.3,45.7,11.2,30.4,36.8,18.0,23.2,77.4,10.2,33.0,43.2,24.0,13.3,8.2,4.7,5.1,18.4,20.5,108.0,3.6
Brooklyn Nets,82.0,28.0,54.0,48.4,41.7,89.4,46.6,9.0,24.5,36.9,17.9,23.4,76.6,10.4,36.4,46.8,21.7,12.4,7.7,5.5,4.8,19.7,20.6,110.3,3.7
Chicago Bulls,82.0,27.0,55.0,48.4,41.0,86.8,47.2,12.1,32.7,37.0,15.9,20.2,78.7,8.4,37.2,45.7,25.9,13.6,7.2,5.2,3.5,17.4,19.2,110.0,7.0
Sacramento Kings,82.0,27.0,55.0,48.2,38.7,82.4,47.0,11.9,31.5,37.7,16.4,21.5,76.5,9.1,34.7,43.8,23.6,14.3,7.8,4.7,4.1,17.3,20.0,105.8,7.0
Orlando Magic,82.0,25.0,57.0,48.1,40.9,87.5,46.8,10.0,27.6,36.2,16.4,21.2,77.3,10.6,35.3,45.9,24.4,14.2,7.8,4.9,4.9,19.0,19.3,108.2,4.8
Atlanta Hawks,82.0,24.0,58.0,48.1,40.7,86.7,46.9,11.6,30.7,37.7,15.9,20.6,77.2,10.3,34.0,44.2,26.1,15.1,8.7,5.5,4.2,20.3,19.6,108.8,5.5
